admission_date,daily_admissions,daily_revenue,avg_los
2022-01-01,9,53081.76,4.333333333333333
2022-01-02,23,143846.69,4.478260869565218
2022-01-03,21,133204.41,4.761904761904762
2022-01-04,18,101148.47,4.0
2022-01-05,24,123798.74,3.4166666666666665
2022-01-06,17,101340.03,4.0588235294117645
2022-01-07,20,107244.37999999999,3.55
2022-01-08,25,141561.87,4.24
2022-01-09,19,98376.96,3.5789473684210527
2022-01-10,13,80096.53,4.769230769230769
2022-01-11,19,123821.32,4.894736842105263
2022-01-12,25,149873.82,4.32
2022-01-13,17,88589.56999999999,3.4705882352941178
2022-01-14,10,52324.020000000004,3.7
2022-01-15,12,80836.02,4.916666666666667
2022-01-16,18,115042.36,4.888888888888889
2022-01-17,17,87773.52,3.5294117647058822
2022-01-18,13,70107.46,3.8461538461538463
2022-01-19,16,109747.67,5.1875
2022-01-20,21,110523.93000000001,3.380952380952381
2022-01-21,18,115550.45,5.0
2022-01-22,15,92418.7,4.8
2022-01-23,19,110433.57,4.0
2022-01-24,16,93636.47,4.3125
2022-01-25,13,64225.869999999995,3.230769230769231
2022-01-26,12,84199.48,5.25
2022-01-27,18,128326.72,5.722222222222222
2022-01-28,14,86810.35,4.428571428571429
2022-01-29,17,85500.18,3.588235294117647
2022-01-30,13,91468.36,5.846153846153846
2022-01-31,18,126482.79,5.5
2022-02-01,20,109298.04,3.8
2022-02-02,18,127099.16,5.444444444444445
2022-02-03,18,102275.38,3.888888888888889
2022-02-04,23,141181.44,4.6521739130434785
2022-02-05,15,101344.9,4.866666666666666
2022-02-06,22,137615.39,4.5
2022-02-07,12,64942.4,3.5833333333333335
2022-02-08,22,120393.76,3.8181818181818183
2022-02-09,11,72346.48,4.454545454545454
2022-02-10,16,70338.73,2.875
2022-02-11,9,42633.12,3.2222222222222223
2022-02-12,16,98440.01,4.3125
2022-02-13,14,99246.9,5.785714285714286
2022-02-14,17,88723.03,3.823529411764706
2022-02-15,16,108288.48,5.1875
2022-02-16,18,122262.43,4.888888888888889
2022-02-17,17,107094.56999999999,4.588235294117647
2022-02-18,21,127037.19,4.238095238095238
2022-02-19,15,84031.78,4.2
2022-02-20,18,111181.63,4.666666666666667
2022-02-21,19,103229.72,3.6315789473684212
2022-02-22,20,135073.14,4.85
2022-02-23,22,126499.01,4.045454545454546
2022-02-24,21,121748.52,4.238095238095238
2022-02-25,15,91144.4,4.666666666666667
2022-02-26,19,118333.73,4.526315789473684
2022-02-27,17,89734.02,3.4705882352941178
2022-02-28,22,131733.28,4.318181818181818
2022-03-01,15,82234.63,3.8666666666666667
2022-03-02,17,119451.8,5.588235294117647
2022-03-03,24,141980.45,4.333333333333333
2022-03-04,14,88651.23,4.857142857142857
2022-03-05,14,88141.2,4.857142857142857
2022-03-06,14,80532.13,4.642857142857143
2022-03-07,18,114448.45,4.888888888888889
2022-03-08,18,114401.44,4.944444444444445
2022-03-09,10,68789.91,5.3
2022-03-10,19,100240.91,3.9473684210526314
2022-03-11,16,89254.70999999999,3.875
2022-03-12,16,118393.85,6.0625
2022-03-13,13,82667.04,4.769230769230769
2022-03-14,18,105938.87999999999,4.055555555555555
2022-03-15,22,116996.81,3.4545454545454546
2022-03-16,15,87301.77,4.266666666666667
2022-03-17,15,90049.7,4.133333333333334
2022-03-18,16,99339.14,4.625
2022-03-19,24,149196.28,4.75
2022-03-20,15,77683.19,3.2
2022-03-21,12,72546.63,4.166666666666667
2022-03-22,16,103679.47,4.625
2022-03-23,23,121930.21,3.739130434782609
2022-03-24,14,71009.65,3.2142857142857144
2022-03-25,12,77175.72,4.583333333333333
2022-03-26,14,102229.25,5.928571428571429
2022-03-27,13,74780.59,4.3076923076923075
2022-03-28,14,81684.27,4.428571428571429
2022-03-29,20,113818.25,4.0
2022-03-30,17,97480.56,3.823529411764706
2022-03-31,12,74262.9,4.166666666666667
2022-04-01,17,103382.11,4.470588235294118
2022-04-02,17,89046.95,3.764705882352941
2022-04-03,15,93070.03,4.4
2022-04-04,14,83135.71,4.428571428571429
2022-04-05,16,96106.16,4.1875
2022-04-06,18,112136.56,4.777777777777778
2022-04-07,14,70785.63,3.2857142857142856
2022-04-08,14,79701.56,4.214285714285714
2022-04-09,17,104002.8,4.176470588235294
2022-04-10,21,126682.95,4.523809523809524
2022-04-11,18,97153.19,3.8333333333333335
2022-04-12,16,89267.16,4.0625
2022-04-13,13,74161.85,4.3076923076923075
2022-04-14,13,69944.33,4.0
2022-04-15,18,100306.19,3.8333333333333335
2022-04-16,24,144034.17,4.458333333333333
2022-04-17,18,93890.4,3.4444444444444446
2022-04-18,23,116660.78,3.4782608695652173
2022-04-19,16,104399.43000000001,4.25
2022-04-20,21,140519.49,5.571428571428571
2022-04-21,14,86344.54,4.357142857142857
2022-04-22,16,91579.12,4.125
2022-04-23,15,85974.6,4.133333333333334
2022-04-24,15,92165.39,4.4
2022-04-25,13,85712.09,4.538461538461538
2022-04-26,21,127788.16,4.142857142857143
2022-04-27,15,100997.84,4.933333333333334
2022-04-28,21,126719.64,4.428571428571429
2022-04-29,17,107013.11,4.588235294117647
2022-04-30,17,104688.7,4.823529411764706
2022-05-01,15,94512.84,4.8
2022-05-02,22,142554.42,4.681818181818182
2022-05-03,21,145303.17,5.428571428571429
2022-05-04,20,128435.31,4.9
2022-05-05,8,47063.0,3.875
2022-05-06,17,84356.35,3.3529411764705883
2022-05-07,15,99233.87,4.933333333333334
2022-05-08,18,100788.79,3.7222222222222223
2022-05-09,18,91700.72,3.5555555555555554
2022-05-10,20,122815.08,4.6
2022-05-11,16,87500.08,3.8125
2022-05-12,9,61142.04,5.222222222222222
2022-05-13,20,90739.12,2.55
2022-05-14,20,111751.15,3.7
2022-05-15,17,102062.8,4.647058823529412
2022-05-16,18,108734.07,4.444444444444445
2022-05-17,21,115365.72,3.7142857142857144
2022-05-18,20,127846.51000000001,4.7
2022-05-19,17,104516.1,4.352941176470588
2022-05-20,13,80161.28,4.3076923076923075
2022-05-21,14,75220.02,4.0
2022-05-22,21,145105.91,5.333333333333333
2022-05-23,16,91792.89,3.75
2022-05-24,19,113586.16,4.473684210526316
2022-05-25,15,89058.18,4.6
2022-05-26,11,50369.07,3.0
2022-05-27,13,92973.0,5.384615384615385
2022-05-28,14,72568.41,3.642857142857143
2022-05-29,14,76661.68,3.9285714285714284
2022-05-30,17,98904.65,3.8823529411764706
2022-05-31,13,80265.01,4.230769230769231
2022-06-01,12,60087.68,3.0
2022-06-02,20,117037.19,4.4
2022-06-03,14,81880.07,4.357142857142857
2022-06-04,13,78643.59,4.384615384615385
2022-06-05,16,122543.89,6.125
2022-06-06,23,166105.02,5.739130434782608
2022-06-07,19,118798.09,4.684210526315789
2022-06-08,20,107786.2,3.45
2022-06-09,13,80337.87,4.615384615384615
2022-06-10,19,104865.42,3.6842105263157894
2022-06-11,12,76246.7,4.75
2022-06-12,19,104469.74,4.157894736842105
2022-06-13,23,140062.72,4.782608695652174
2022-06-14,16,95272.61,4.0
2022-06-15,10,56297.869999999995,3.9
2022-06-16,12,85330.38,5.666666666666667
2022-06-17,13,79239.17,4.846153846153846
2022-06-18,11,68369.92,4.363636363636363
2022-06-19,21,131430.24,4.476190476190476
2022-06-20,11,66432.70999999999,4.545454545454546
2022-06-21,19,97137.58,3.4210526315789473
2022-06-22,23,137157.13,4.260869565217392
2022-06-23,10,57147.51,4.0
2022-06-24,22,111184.11,3.1818181818181817
2022-06-25,9,55565.86,4.666666666666667
2022-06-26,20,103634.56,3.5
2022-06-27,25,167901.58,5.16
2022-06-28,6,34854.41,4.333333333333333
2022-06-29,11,73040.99,5.363636363636363
2022-06-30,14,87982.0,4.642857142857143
2022-07-01,9,47309.53,3.888888888888889
2022-07-02,20,113701.31,4.0
